"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Sentado (Máquina)",,"",0,"normal",50,10,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Sentado (Máquina)",,"",1,"normal",60,9,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Sentado (Máquina)",,"",2,"normal",70,5,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Sentado (Máquina)",,"",3,"normal",60,8,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Declinado (Barra)",,"",0,"normal",26,7,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Declinado (Barra)",,"",1,"normal",28,7,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Declinado (Barra)",,"",2,"normal",28,6,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Supino Declinado (Barra)",,"",3,"normal",28,5,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Pec Deck",,"",0,"normal",30,9,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Pec Deck",,"",1,"normal",35,4,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Pec Deck",,"",2,"normal",35,4,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Pec Deck",,"",3,"normal",30,6,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Triceps Testa (Halter)",,"",0,"normal",6,5,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Triceps Testa (Halter)",,"",1,"normal",6,7,,,
"Segunda","26 Jan 2026, 16:58","26 Jan 2026, 18:22","","Triceps Testa (Halter)",,"",2,"normal",6,6,,,
